timestamp,open,high,low,close,volume
1717543800000,70342.9,70434.3,70342.9,70399.0,845.0
1717543860000,70440.5,70440.5,70386.0,70425.6,737.0
1717543920000,70389.1,70456.5,70389.1,70456.5,886.0
1717543980000,70421.2,70479.8,70414.1,70443.3,882.0
1717544040000,70443.5,70478.5,70431.6,70458.7,1015.0
1717544100000,70458.7,70494.5,70438.6,70455.5,831.0
1717544160000,70495.5,70495.5,70446.8,70446.8,895.0
1717544220000,70482.1,70495.0,70446.8,70452.6,819.0
1717544280000,70487.9,70495.0,70435.9,70482.3,1040.0
1717544340000,70481.6,70490.1,70445.6,70482.0,1020.0
1717544400000,70482.0,70536.6,70439.3,70536.6,757.0
1717544460000,70541.3,70582.3,70513.3,70575.3,809.0
1717544520000,70539.9,70580.7,70502.4,70502.4,1049.0
1717544580000,70509.4,70544.9,70485.7,70519.7,762.0
1717544640000,70484.4,70527.3,70484.4,70521.3,1059.0
1717544700000,70514.7,70559.3,70470.3,70536.0,640.0
1717544760000,70537.5,70573.7,70507.3,70517.5,934.0
1717544820000,70527.2,70574.4,70527.2,70570.0,1050.0
1717544880000,70535.1,70577.3,70504.2,70526.1,852.0
1717544940000,70531.6,70551.4,70496.4,70543.3,861.0
1717545000000,70507.8,70549.1,70507.8,70508.6,1124.0
1717545060000,70544.1,70548.3,70508.6,70548.3,734.0
1717545120000,70548.3,70581.8,70512.6,70551.2,865.0
1717545180000,70541.5,70589.2,70541.5,70587.6,787.0
1717545240000,70552.1,70591.3,70551.1,70554.3,1018.0
1717545300000,70589.8,70600.3,70554.3,70591.3,1183.0
1717545360000,70591.3,70591.3,70535.4,70567.4,1091.0
1717545420000,70531.9,70574.1,70510.2,70510.2,954.0
1717545480000,70539.4,70539.4,70496.6,70536.7,1062.0
1717545540000,70536.7,70536.7,70469.5,70481.2,480937.0
1717545600000,70516.7,70571.3,70495.3,70536.2,761.0
1717545660000,70536.2,70587.4,70536.1,70541.7,1002.0
1717545720000,70533.5,70569.3,70478.5,70513.5,991.0
1717545780000,70513.5,70529.7,70468.7,70494.3,682.0
1717545840000,70546.4,70547.0,70500.5,70501.8,912.0
1717545900000,70494.9,70532.9,70481.8,70490.5,945.0
1717545960000,70490.5,70541.7,70490.5,70501.9,997.0
1717546020000,70539.8,70548.4,70486.5,70489.4,1113.0
1717546080000,70526.7,70526.7,70474.0,70486.6,851.0
1717546140000,70522.1,70540.8,70469.1,70469.1,914.0
1717546200000,70500.7,70509.2,70453.7,70466.8,889.0
1717546260000,70466.8,70509.2,70439.9,70483.6,753.0
1717546320000,70483.6,70483.6,70435.4,70441.5,904.0
1717546380000,70441.5,70476.9,70434.3,70470.7,1058.0
1717546440000,70470.7,70470.7,70427.1,70427.1,942.0
1717546500000,70398.8,70441.4,70398.8,70440.0,870.0
1717546560000,70440.0,70450.3,70392.7,70445.2,968.0
1717546620000,70409.8,70436.9,70369.4,70369.4,925.0
1717546680000,70400.0,70437.9,70364.2,70401.3,968.0
1717546740000,70436.7,70480.7,70430.9,70472.1,844.0
1717546800000,70432.0,70504.9,70432.0,70504.9,778.0
1717546860000,70467.9,70522.3,70467.9,70522.3,927.0
1717546920000,70522.3,70578.3,70482.9,70556.5,819.0
1717546980000,70521.0,70617.6,70521.0,70581.9,50707.0
1717547040000,70617.0,70625.2,70554.8,70619.3,936.0
1717547100000,70576.6,70635.6,70553.2,70635.6,816.0
1717547160000,70600.1,70633.9,70558.4,70595.7,1018.0
1717547220000,70580.5,70601.1,70536.8,70536.8,929.0
1717547280000,70529.4,70591.2,70529.4,70548.5,730.0
1717547340000,70548.5,70609.0,70528.6,70566.5,820.0
1717547400000,70562.2,70625.6,70525.9,70525.9,1075.0
1717547460000,70552.1,70605.7,70487.1,70605.7,447380.0
1717547520000,70605.7,70632.0,70566.3,70594.0,857.0
1717547580000,70634.8,70671.6,70597.7,70671.6,737.0
1717547640000,70676.2,70760.9,70638.8,70723.5,686.0
1717547700000,70723.9,70852.6,70723.9,70785.8,53485.0
1717547760000,70809.8,70809.8,70711.6,70725.5,826.0
1717547820000,70715.8,70755.4,70686.9,70707.3,771.0
1717547880000,70707.3,70791.1,70707.3,70784.8,902.0
1717547940000,70748.4,70810.7,70744.4,70785.6,962.0
1717548000000,70821.2,70835.1,70759.8,70814.4,913.0
1717548060000,70797.4,70807.0,70724.1,70724.3,950.0
1717548120000,70759.9,70759.9,70701.9,70748.5,819.0
1717548180000,70739.2,70739.2,70677.5,70722.0,841.0
1717548240000,70697.4,70733.0,70670.0,70672.5,863.0
1717548300000,70708.0,70708.0,70617.4,70627.0,457801.0
1717548360000,70682.0,70733.9,70638.0,70725.1,1053.0
1717548420000,70689.4,70719.1,70613.3,70613.3,753.0
1717548480000,70609.6,70637.1,70578.5,70594.4,867.0
1717548540000,70594.4,70705.9,70575.0,70670.4,796.0
1717548600000,70690.5,70690.5,70622.5,70663.9,824.0
1717548660000,70623.0,70741.0,70623.0,70687.6,1084.0
1717548720000,70712.2,70727.7,70672.3,70675.9,893.0
1717548780000,70672.6,70797.0,70656.1,70797.0,557.0
1717548840000,70787.8,70889.3,70746.7,70799.8,778.0
1717548900000,70825.5,70844.3,70743.8,70775.2,794.0
1717548960000,70772.8,70772.8,70706.6,70706.6,596.0
1717549020000,70708.0,70756.9,70708.0,70743.6,893.0
1717549080000,70708.0,70761.3,70689.0,70725.9,994.0
1717549140000,70782.1,70782.1,70714.6,70725.1,863.0
1717549200000,70766.9,70766.9,70690.6,70764.4,872.0
1717549260000,70764.4,70766.2,70699.4,70753.1,50876.0
1717549320000,70715.2,70788.4,70715.2,70787.4,953.0
1717549380000,70787.4,70804.4,70751.7,70804.4,918.0
1717549440000,70772.6,70823.8,70770.0,70823.8,919.0
1717549500000,70790.5,70830.4,70689.6,70728.0,923.0
1717549560000,70725.6,70785.9,70689.7,70741.6,836.0
1717549620000,70740.6,70763.3,70702.8,70760.2,1184.0
1717549680000,70755.6,70755.6,70690.6,70692.1,1031.0
1717549740000,70752.2,70757.3,70679.8,70679.8,907.0
1717549800000,70692.1,70719.0,70658.1,70719.0,772.0
1717549860000,70683.4,70719.0,70655.1,70655.1,971.0
1717549920000,70655.1,70686.0,70624.0,70657.9,925.0
1717549980000,70656.4,70677.5,70620.9,70634.8,890.0
1717550040000,70634.8,70670.4,70622.2,70622.2,877.0
1717550100000,70643.6,70670.6,70609.2,70661.9,1031.0
1717550160000,70669.8,70708.5,70643.4,70671.6,907.0
1717550220000,70718.4,70724.0,70641.2,70655.3,781.0
1717550280000,70662.0,70785.6,70662.0,70737.7,966.0
1717550340000,70741.5,70807.5,70741.5,70794.7,720.0
1717550400000,70759.1,70811.2,70759.1,70770.7,954.0
1717550460000,70770.6,70839.3,70770.6,70798.2,792.0
1717550520000,70833.5,70841.8,70777.2,70806.1,973.0
1717550580000,70806.1,70878.3,70806.1,70866.6,950.0
