price,quantity
68395.3,11.0
68395.2,21636.0
68390.6,15000.0
68381.6,40499.0
68368.0,82063.0
68364.5,35000.0
68363.8,35000.0
68358.8,200.0
68355.0,3930.0
68351.0,14.0
68350.0,222.0
68340.4,5152.0
68334.5,100.0
68333.9,811.0
68333.5,624.0
68333.0,34166.0
68331.3,566.0
68327.0,13665.0
68326.5,202615.0
68326.1,57082.0
68324.5,67545.0
68323.0,24000.0
68322.2,61291.0
68315.7,45740.0
68312.9,223083.0
68312.7,213942.0
68311.6,261286.0
68309.6,163115.0
68308.1,166407.0
68304.4,94162.0
